,movie_name,release_date,score,genre,budget,revenue,country,release_year,continent,ENFJ,ENFP,ENTJ,ENTP,ESFJ,ESFP,ESTJ,ESTP,INFJ,INFP,INTJ,INTP,ISFJ,ISFP,ISTJ,ISTP
1037,Barbie: Princess Charm School,2011-09-07,74.0,"Family, Animation, Fantasy",119740000.0,727365098.2,Australia,2011.0,Oceania,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1041,One Hundred And One Dalmatians,1961-10-08,72.0,"Adventure, Animation, Comedy, Family",4000000.0,85000000.0,Australia,1961.0,Oceania,0.0,0.0,0.0,1.0,0.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,1.0
1045,Alien,1979-12-06,81.0,"Horror, Science Fiction",10700000.0,184638105.0,Australia,1979.0,Oceania,1.0,0.0,1.0,0.0,0.0,3.0,2.0,3.0,1.0,0.0,3.0,5.0,1.0,0.0,6.0,4.0
1049,American Pie,1999-09-16,66.0,"Comedy, Romance",12000000.0,234723148.0,Australia,1999.0,Oceania,1.0,1.0,0.0,0.0,4.0,5.0,0.0,4.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
1050,Terrifier,2011-08-09,64.0,Horror,35000.0,0.0,United States of America,2011.0,North America,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1061,Jeepers Creepers,2002-01-17,64.0,"Horror, Thriller",10000000.0,58939035.0,Australia,2002.0,Oceania,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1064,Rango,2011-03-10,68.0,"Animation, Comedy, Family, Western, Adventure",135000000.0,245724600.0,Australia,2011.0,Oceania,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,2.0,1.0,2.0,2.0
1070,Law Abiding Citizen,2010-01-28,73.0,"Drama, Crime, Thriller",53000000.0,131159781.0,Australia,2010.0,Oceania,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1073,Ted,2012-07-05,64.0,"Comedy, Fantasy",50000000.0,556016627.0,Australia,2012.0,Oceania,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1076,Tenet,2020-08-27,72.0,"Action, Thriller, Science Fiction",205000000.0,360240189.0,Australia,2020.0,Oceania,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0
1078,Pinocchio,1940-05-16,71.0,"Animation, Family",45000000.0,31681811.0,Australia,1940.0,Oceania,1.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0
1079,Pinocchio,1940-05-16,71.0,"Animation, Family",13200000.0,30360375.0,Australia,1940.0,Oceania,1.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0
1080,Pinocchio,1940-05-16,71.0,"Animation, Family",2289247.0,84300000.0,Australia,1940.0,Oceania,1.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0
1081,Below Her Mouth,2017-02-10,68.0,"Drama, Romance",54200004.0,33673.0,Canada,2017.0,North America,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1084,Taken,2008-08-14,74.0,"Action, Thriller",25000000.0,226941585.0,Australia,2008.0,Oceania,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1088,American Psycho,2000-04-13,74.0,"Thriller, Drama, Crime",8000000.0,34270285.0,Australia,2000.0,Oceania,0.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0
1107,Saw,2004-12-02,74.0,"Horror, Mystery, Crime",1200000.0,103880027.0,Australia,2004.0,Oceania,3.0,1.0,2.0,0.0,1.0,2.0,2.0,4.0,1.0,1.0,1.0,3.0,3.0,2.0,2.0,4.0
1111,The Exorcism Of Emily Rose,2005-10-27,65.0,"Crime, Drama, Horror, Thriller",18000000.0,144529078.0,Australia,2005.0,Oceania,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1112,Southpaw,2015-08-20,74.0,"Action, Drama",30000000.0,94156456.0,Australia,2015.0,Oceania,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0
1121,Baywatch,2017-06-01,61.0,"Comedy, Action, Crime",60000000.0,175863783.0,Australia,2017.0,Oceania,0.0,0.0,1.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1124,The Hunger Games,2012-03-22,72.0,"Science Fiction, Adventure, Fantasy",80000000.0,677923379.0,Australia,2012.0,Oceania,1.0,1.0,3.0,1.0,1.0,2.0,1.0,4.0,2.0,2.0,1.0,4.0,2.0,3.0,1.0,1.0
1125,Get Out,2017-05-04,76.0,"Mystery, Thriller, Horror",5000000.0,252297405.0,Australia,2017.0,Oceania,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0
1127,Shark Tale,2004-09-20,60.0,"Animation, Action, Comedy, Family",75000000.0,371741123.0,Australia,2004.0,Oceania,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
1132,Aladdin,1993-06-03,76.0,"Animation, Family, Adventure, Fantasy, Romance",182000000.0,1046587513.0,Australia,1993.0,Oceania,0.0,4.0,0.0,1.0,2.0,3.0,3.0,3.0,0.0,1.0,3.0,0.0,1.0,0.0,1.0,1.0
1133,Aladdin,1993-06-03,76.0,"Animation, Family, Adventure, Fantasy, Romance",28000000.0,504050219.0,Australia,1993.0,Oceania,0.0,4.0,0.0,1.0,2.0,3.0,3.0,3.0,0.0,1.0,3.0,0.0,1.0,0.0,1.0,1.0
