,movie_name,release_date,score,genre,budget,revenue,country,release_year
1929,Cherry Magic! The Movie,2022-04-08,70.0,"Comedy, Romance",96140000.0,594575394.8,JP,2022.0
1930,White Snake,2019-01-11,77.0,"Romance, Animation, Fantasy",11936735.0,61631776.0,CN,2019.0
1931,Infinity Pool,2023-05-11,65.0,"Horror, Science Fiction, Thriller",4500000.0,5078400.0,AU,2023.0
1932,Psycho,1960-09-21,84.0,"Horror, Drama, Thriller",20000000.0,37226218.0,AU,1960.0
1933,A Dog'S Purpose,2017-05-04,76.0,"Adventure, Comedy, Fantasy, Family, Drama",22000000.0,205035819.0,AU,2017.0
1934,Salt,2010-08-19,64.0,"Action, Mystery, Thriller",130000000.0,290650494.0,AU,2010.0
1935,Sinister,2012-11-01,69.0,"Horror, Thriller, Mystery",3000000.0,87727807.0,AU,2012.0
1936,Shin Ultraman,2022-05-13,71.0,"Drama, Action, Science Fiction",5900000.0,33800000.0,JP,2022.0
1937,Barbie: A Fairy Secret,2011-03-15,67.0,"Animation, Family, Fantasy",66400000.0,318617662.4,US,2011.0
1938,The Old Way,2023-04-01,60.0,"Western, Action",102400000.0,208453066.2,AU,2023.0
1939,Blue Thermal,2022-03-04,59.0,"Animation, Drama, Romance, Comedy",190400000.0,1220832375.0,JP,2022.0
1940,The Good Nurse,2022-10-20,70.0,"Drama, Crime, Mystery",118800000.0,806055991.2,AU,2022.0
1941,Shutter,2004-09-09,73.0,"Horror, Mystery, Thriller",8000000.0,47782426.0,TH,2004.0
1942,Freddy Vs. Jason,2003-10-23,60.0,Horror,25000000.0,114576403.0,AU,2003.0
1943,I See You,2020-07-10,70.0,"Thriller, Mystery, Horror, Crime",3000000.0,191599758.4,AU,2020.0
1944,Overboard,2018-05-04,67.0,"Romance, Comedy",12000000.0,91244913.0,US,2018.0
1945,Enchanted,2007-12-14,68.0,"Comedy, Family, Fantasy, Romance",85000000.0,340384141.0,AU,2007.0
1946,Saw Ii,2005-11-17,66.0,Horror,5000000.0,152925093.0,AU,2005.0
1947,The Exorcism Of Carmen Farias,2021-05-05,61.0,Horror,922000.0,1474579.0,MX,2021.0
1948,Cloverfield,2008-01-17,67.0,"Action, Thriller, Science Fiction",25000000.0,171302226.0,AU,2008.0
1949,Barbie In A Mermaid Tale 2,2012-03-06,70.0,"Animation, Family",27220000.0,15489307.0,US,2012.0
